,sample_0,sample_1,sample_2
sample_0,0.0,0.999829888343811,0.00022742815781384706
sample_1,7.665828889003024e-05,0.0,0.9993982315063477
sample_2,0.0003282777324784547,0.0002702417259570211,0.0
